PMID,DB.ID,REF.SENTENCE,ASSOCIATION.CLASS
29224028,id175447,"BACKGROUND ABCA2 has been genetically linked to Alzheimer's disease (AD) risk, but its mRNA expression and epigenetics in AD have not been investigated.",X
33221536,id175448,"Accordingly, modulation of ABCA7 activity by manipulating cholesterol metabolism may open a new path for management of Alzheimer's disease.",A
31831047,id175449,"Since both APOE and ABCA7 protein expression may independently reduce neuritic plaque burden and reorganize fibrillar amyloid burden-mediated disruption of functional connectivity in the default mode network, we aimed to investigate the effect of the APOE-ABCA7 interaction on default mode network in Alzheimer's disease.",A
28556232,id175450,We investigated the association of Alzheimer's disease (AD)-related rare variants APP A673T and ABCA7 rs200538373-C with the levels of β-amyloid (Aβ) and parameters of metabolic and cardiovascular health in a population-based cohort of healthy middle-aged and elderly men.,X
28341646,id175451,"To examine whether a polygenic risk score (PRS) derived from APOE4, CLU, and ABCA7 is associated with CSF biomarkers of Alzheimer disease (AD) pathology and whether higher cardiorespiratory fitness (CRF) modifies the association between the PRS and CSF biomarkers.",X
27003212,id175452,"Using tagger methods, we extracted 15 targeted ABCA7 loci to investigate their associations with cerebrospinal fluid (CSF) and neuroimaging markers in Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset.",X
26260791,id175453,A reduction in ABCA7 expression or loss of function would be predicted to increase amyloid production and that may be a contributing factor in the associated Alzheimer disease susceptibility.,A
26141617,id175454,"Using targeted resequencing, we investigated ABCA7 in this cohort with the aim to directly detect rare and common variations in this gene associated with Alzheimer's disease pathogenesis.",X
26141617,id175455,The effect of loss-of-function mutations on ABCA7 expression was investigated with quantitative real-time PCR in post-mortem brains of patients (n=3) and control individuals (n=4); nonsense mediated mRNA decay was investigated in lymphoblast cell lines from three predicted loss-of-function mutation carriers from the cohort of 772 patients with Alzheimer's disease.,X
24643655,id175456,"Large-scale genome-wide association studies (GWAS) have revealed that the ABCA7 rs3764650 polymorphism (or its proxies, namely rs115550680, rs3752246, and rs4147929) is associated with Alzheimer's disease (AD) susceptibility in individuals of Caucasian ancestry.",Y
24113560,id175457,"Recently, a large genome-wide association study has revealed that polymorphism of alleles and genotypes in rs3,764,650 within ABCA7 gene is associated with Alzheimer disease in whites.",Y
35063134,id175458,"Moreover, ABCA1 and ABCG1 prevent amyloid β accumulation; therefore, their increased activity may prevent Alzheimer's disease.",A
27196068,id175459,"In this study, we examined the effects of ABCG1 and ABCG4 on amyloid precursor protein (APP) processing, the product of which, amyloid β (Aβ), is involved in the pathogenesis of Alzheimer's disease.",X
27488911,id175460,Changes in P-glycoprotein and ABCG2 densities may play a role in amyloid-beta accumulation in Alzheimer's disease.,A
20626554,id175461,These findings suggest that ABCG2 may relieve oxidative stress and inflammatory response via inhibiting NF-κB signaling pathway in cell models and brain tissues and thus may play a potential protective role in Alzheimer's neuroinflammatory response.,A
27196068,id175462,"In this study, we examined the effects of ABCG1 and ABCG4 on amyloid precursor protein (APP) processing, the product of which, amyloid β (Aβ), is involved in the pathogenesis of Alzheimer's disease.",X
27196068,id175463,ABCG1 and ABCG4 may inhibit the development of Alzheimer's disease and can be targets for the treatment of Alzheimer's disease.,A
26042891,id175464,"Overall, our study showed no association between ABO blood group and risk of Alzheimer's disease, vascular dementia or unspecified dementia.",N
31608897,id175465,"In this article, we summarized the novel synthetic curcuminoids by different therapeutic activities including antioxidant activity, anti-HIV activity, stimulating activity of gastric emptying, anti-inﬂammatory activity, ACE inhibition activity, prevention of Parkinson's disease, anti-parasitism, anti-obesity, prevention of Alzheimer's disease, and antibacterial activity.",X
26884824,id175466,"This study aimed to determine the connection between polymorphisms of kallikrein kinin system including KLK1 (rs5516), KNG1 (rs710446, rs2304456) and ACE (rs4291, rs4309, rs4343) and late-onset Alzheimer's disease (LOAD).",X
25332184,id175467,"This study investigates whether the ACE exists for volunteers with Alzheimer's disease (AD), whether the ACE can facilitate language comprehension, and also whether the ACE can still be produced if the order of the two events is inverted, that is, whether overt movement can prime comprehension of transfer sentences.",X
25201786,id175468,"This could suggest that ACE inhibitors, which may lower CSF ACE levels, are not preferred as antihypertensive treatment in patients at risk for Alzheimer's disease.",A
24823497,id175469,"Thus, maintaining brain ACE2 and ACE activities may be important for preventing brain amyloid neurotoxicity and deposition in Alzheimer's disease.",A
24577465,id175470,"Controversy over benefits of angiotensin-converting enzyme inhibitors (ACEIs) for treatment of dementia due to Alzheimer's disease (AD) led to this alternative investigational approach by the employment of pharmacogenetic methods, correlating the cognitive change of patients with late-onset AD with the presence of common ACE gene promoter polymorphisms, and stratifying the sample in groups of patients who responded or not to the brain-penetrating ACEIs Captopril or Perindopril.",X
22732396,id175471,"Second, since polymorphisms in the ACE gene have been associated with Alzheimer's dementia (AD) and ACE is potentially involved in brain β-amyloid degradation, we also investigated the state of ghrelin axis and inflammatory markers in patients with AD and vascular dementia (VaD).",X
21533863,id175472,"The objective of this study was to investigate the association of ACE and APOC1 gene polymorphisms with susceptibility to Alzheimer's disease and dementia in general, both alone and combined with the APOE gene.",X
20627092,id175473,"In the present study, we compared the effects of a centrally active ACE inhibitor, perindopril, with those of non-centrally active ACE inhibitors, imidapril and enalapril, on cognitive performance in amyloid beta(Abeta) (25-35)-injected mice, a rodent model of Alzheimer's disease.",X
20627092,id175474,"Based on our observations, we concluded that a centrally active ACE inhibitor, perindopril, may therefore have a beneficial effect on Alzheimer's disease as well as hypertension.",A
19299896,id175475,"Further, we wanted to investigate the ability of the ACE to discriminate patients with early Alzheimer's disease (AD) from patients with depression. 78 patients with mild AD (MMSE >or=20), 30 non-demented patients diagnosed with depression (originally referred for evaluation of cognitive symptoms), and 63 healthy volunteers, all between 60 and 85 years of age, were included.",X
18431000,id175476,"The purpose of this study was to examine the impact of two polymorphisms (rs4291A>T and rs4343G>A) in the ACE gene on the risk of Alzheimer's disease (AD), using a population-based cohort of 9294 subjects selected from the electoral rolls of three French cities (the Three-City Study).",X
17768772,id175477,We aimed to assess the ability of the ACE to differentiate semantic dementia (SD) from Alzheimer's disease (AD).,X
17401152,id175478,"In order to clarify the role of the polymorphism for the occurrence of LOAD in Chinese and the possibility of a synergistic effect with the apolipoprotein E allele 4 on the risk of Alzheimer disease, we examined the ACE and APOE genotypes in a Chinese sample consisting of 104 sporadic LOAD patients and 128 healthy controls.",X
12928053,id175479,"In this study, we investigated the common MTHFR C677-->T and ACE insertion/deletion (I/D) gene polymorphisms as risk factors for AD in two genetically and diagnostically distinct cohort of Alzheimer's patients.",X
11803189,id175480,A recent study found that a 287-bp insertion/deletion (I/D) polymorphism of the ACE gene is associated with susceptibility to Alzheimer's disease (AD).,Y
10400221,id175481,"In order to verify the association of Angiotensin converting enzyme (ACE) gene with different kinds of dementia, as well as its association with APO-E (genotype), we performed ACE genotyping in subjects with late-onset probable Alzheimer's disease (LOAD, n = 64), early-onset probable Alzheimer's disease (EOAD, n = 32), possible Alzheimer's disease (pAD, n = 44), vascular dementia (VD, n = 12), age-associated memory impairment (AAMI, n = 15) and 40 healthy age-matched controls, who were previously characterized for APO-E.",X
3024746,id175482,"Independent of CSF protein concentration, ACE activity per milliliter exhibited a positive correlation with AChE activity per milliliter within the control and Parkinson's disease groups, whereas a statistically significant correlation for these CSF hydrolases was not observed within the Alzheimer's disease group.",Y
33567524,id175483,A moderate positive correlation was found between the increased ACE2 protein expression and oxidative stress in brains with Alzheimer's disease.,Y
24823497,id175484,"Thus, maintaining brain ACE2 and ACE activities may be important for preventing brain amyloid neurotoxicity and deposition in Alzheimer's disease.",A
22572541,id175485,"Results from this investigation suggest that the ADAM10 rs514049-rs653765 C-A promoter haplotype is associated with: (1) higher CSF sAPPα levels in cognitively normal controls compared with Alzheimer's disease (AD) patients, (2) higher postmortem brain hippocampus, but not cerebellum, ADAM10 protein levels in subjects with low plaque scores compared with those with high plaque scores, and (3) higher promoter activity for promoter-only reporter constructs compared with promoter 3' untranslated region (3'UTR) constructs in the human neuroblastoma SHSY5Y cell line, but not in HepG2 or U118 cell lines.",Y
21956108,id175486,"Taken together, our results demonstrate that ADAM10 activity is regulated by inhibition of ADAM9, and this regulation may be used to control shedding of amyloid precursor protein by enhancing α-secretase activity, a key regulatory step in the etiology of Alzheimer disease.",A
18393804,id175487,"As the knockouts of ADAM10 and ADAM17 are only informative for their roles in (early) development, while a number of recently assigned new substrates play crucial roles in the normal and/or diseased adult organism as well, work on conditional knockout models will be crucial to fully characterize both the full functional portfolio of (candidate) alpha-secretases as well as their clinical relevance, which may go way beyond Alzheimer s Disease.",A
18393804,id175488,"As the knockouts of ADAM10 and ADAM17 are only informative for their roles in (early) development, while a number of recently assigned new substrates play crucial roles in the normal and/or diseased adult organism as well, work on conditional knockout models will be crucial to fully characterize both the full functional portfolio of (candidate) alpha-secretases as well as their clinical relevance, which may go way beyond Alzheimer s Disease.",A
27333034,id175489,"Our data thus indicate that lowering ADAM30 expression may favor Aβ production, thereby contributing to Alzheimer's disease development.",A
27808372,id175490,"In the present study, we investigated the association between ADH1B rs1229984 and ALDH2 rs671 polymorphisms and the development of Alzheimer's disease in a Chinese population.",X
33275249,id175491,This study aimed to explore the correlation between serum EAAT2 and ADORA2A levels and Alzheimer's disease (AD).,X
31214274,id175492,"Finally, we demonstrate the use of AFM for studying other pathological conditions, such as Alzheimer's disease and human immunodeficiency virus (HIV), through the investigation of amyloid fibrils and viruses, respectively.",X
16002217,id175493,The purpose of this study was to investigate the distribution of AHSG gene polymorphism in 235 Caucasian Italian patients with late-onset Alzheimer's disease (LOAD) and 235 age- and gender-matched healthy controls.,X
29516269,id175494,"We studied the effect of two rare mutations (rs144662445 and rs149979685) in the A-kinase anchoring protein 9 (AKAP9) gene, previously associated with Alzheimer disease (AD) in African Americans (AA), on post-translational modifications of AD-related pathogenic molecules, amyloid precursor protein (APP) and microtubule-associated protein Tau using lymphoblastoid cell lines (LCLs) from 11 AA subjects with at least one AKAP9 mutation and 17 AA subjects lacking these mutations.",X
27808372,id175495,"In the present study, we investigated the association between ADH1B rs1229984 and ALDH2 rs671 polymorphisms and the development of Alzheimer's disease in a Chinese population.",X
10873585,id175496,"To examine whether genetic constitutions affecting aldehyde metabolism influence the risk for late-onset Alzheimer's disease (LOAD), we performed a case-control study in the Japanese population on the deficiency in ALDH2 caused by the dominant-negative mutant allele of the ALDH2 gene (ALDH2*2).",X
30462206,id175497,Ways of counteracting the detrimental effects of ANGPTL4 and thus promoting cerebral vascular function may provide novel treatment regimens to halt the progression of Alzheimer's disease.,A
11547943,id175498,"We have investigated the immunocytochemical localization of APC in the temporal cortex and hippocampus of normal human brain, in Alzheimer's disease (AD) and in several other neuropathological conditions.",X
17076261,id175499,"Present work investigated the presence of NATs of Alzheimer's disease associated genes including PRESENILIN1, PRESENILIN2, BACE1, BACE2, APP, APOE, TAU (MAPT), PRION, alpha-SYNUCLEIN (SNCA), NICASTRIN, PEN2, APH1A, APH1B as well as CD147 (BASIGIN), and the results revealed that APP, BACE2, APH1A, TAU, CD147 and alpha-SYNUCLEIN contain natural antisense transcripts.",X
9037522,id175500,"In summary, these results indicate that Alzheimer's disease is not associated with over-expression of either APP or APLP2 mRNA.",N
17183147,id175501,"This study investigates the association of AD with the APOA5 gene -1131T>C polymorphisms in samples of 106 patients with Alzheimer's disease (AD), 76 elderly healthy controls and 93 young healthy controls.",X
9681639,id175502,"Major findings of this work are (1) no genotype or allele of the polymorphisms examined here seemed to be associated with vascular dementia or with Alzheimer's disease, (2) total cholesterol and LDL cholesterol levels were lower in Alzheimer's disease patients than in vascular dementia patients and in elderly controls, and (3) the dementia patients with APOB EcoRI R+R- genotype had higher total cholesterol and LDL cholesterol levels than R+R+ homozygotes.",X
21533863,id175503,"The objective of this study was to investigate the association of ACE and APOC1 gene polymorphisms with susceptibility to Alzheimer's disease and dementia in general, both alone and combined with the APOE gene.",X
34393677,id175504,Not all APOE ε4 carriers who survive to advanced age develop Alzheimer's disease (AD); factors attenuating the risk of ε4 on AD may exist.,A
34311431,id175505,"To investigate the effect of serum uric acid on longitudinal cognitive and brain metabolic changes, we utilized data on baseline serum uric acid levels, APOE genotyping, and longitudinal cognitive scores from the Alzheimer's Disease Neuroimaging Initiative for 1,343 participants with normal cognition (NC), mild cognitive impairment (MCI), or dementia.",X
33939248,id175506,We examined the impact of an APOE ε4 genotype on Alzheimer's disease (AD) subject platelet and lymphocyte metabolism.,X
33722993,id175507,"To characterize age-related clinical heterogeneity in Alzheimer disease (AD) and determine whether it is modified by APOE genotype or concomitant non-AD pathology, we analyzed data from 1,750 patients with sporadic, pathologically confirmed severe AD.",X
33586848,id175508,"Our findings indicate that in cognitively healthy older adults, elevated WMH volume regionally localized to the temporal lobes in APOE ε4 carriers is associated with reduced hippocampal volume, suggesting greater vulnerability to brain aging and the risk for Alzheimer's disease.",Y
33331535,id175509,"We aimed to present an overview of the literature regarding the interaction between physical exercise and APOE gene polymorphism on cognitive function, particularly in patients with Alzheimer's disease (AD).",X
33188400,id175510,The APOE ε4 allele is associated with higher risks of cardiovascular diseases and Alzheimer disease than ε3 and ε2.,Y
33143703,id175511,"Here we examine the association between polygenic scores for Alzheimer's disease both with and without the APOE region (chr19: 45,384,477 to 45,432,606, build 37/hg 19) at different P value thresholds and dementia.",X
32954402,id175512,"The APOE ɛ4 allele is associated with a risk of Alzheimer's disease in the elderly, with the association being pronounced in females.",Y
32928967,id175513,"To investigate the association between APOE genotype and β-amyloid (Aβ) burden, as measured by PET in patients with subcortical vascular cognitive impairment (SVCI) and those with Alzheimer disease-related cognitive impairment (ADCI).",X
32706201,id175514,"It seems BIN1 and CLU together with, albeit independent of APOE E4, may be among the factors predisposing individuals with a family history of Alzheimer's disease to developing the illness.",A
32345996,id175515,"Therefore we used Taqman genotyping, exome and RNA sequencing to investigate Alzheimer's disease known pathogenic variants and pathways: APOE ε4 allele, APP-Aβ metabolism and late-onset Alzheimer's disease main genome-wide association loci (APOE, BIN1, CD33, MS4A6A, CD2AP, PICALM, CLU, CR1, EPHA1, ABCA7) in 96 early-onset small vessel ischemic disease Caucasian patients and 368 elderly neuropathologically proven controls (HEX database) and in a mouse model of cerebral hypoperfusion.",X
32314201,id175516,"We examined the possible effects of years of education and APOE genotype on the topological properties of the functional network in normal aging, mild cognitive impairment and Alzheimer's disease.",X
32017008,id175517,To examine the associations of APOE ε2ε4 with the development of Alzheimer's disease (AD) and mild cognitive impairment (MCI) in non-Latino whites.,X
31831047,id175518,"Since both APOE and ABCA7 protein expression may independently reduce neuritic plaque burden and reorganize fibrillar amyloid burden-mediated disruption of functional connectivity in the default mode network, we aimed to investigate the effect of the APOE-ABCA7 interaction on default mode network in Alzheimer's disease.",A
31794792,id175519,"To detect how APOE ε4 affects CSF YKL-40 levels in cognitively normal (CN) states, mild cognitive impairment (MCI) and AD dementia, data from 35 CN subjects, 63 patients with MCI, and 11 patients with AD from a cross-sectional study in the Alzheimer's Disease Neuroimaging Initiative (ADNI) database were investigated.",X
31658057,id175520,"This study investigated relationships among cardiovascular and metabolic risk factors, APOE genotype, AD biomarkers, and intracranial arterial blood flow in Whites and African Americans enriched for AD risk. 399 cognitively unimpaired adults from the Wisconsin Alzheimer's Disease Research Center completed physical and neuroimaging examinations.",X
31385390,id175521,"The gene APOE is associated with cognitive change and late-onset Alzheimer's disease, and epidemiological studies have provided strong evidence that the e2 allele of APOE has a neuroprotective effect, it is associated with increased longevity and an extended healthy lifespan in centenarians.",Y
31322569,id175522,"TOMM40 '523 is associated with Alzheimer's disease (AD), but APOE linkage disequilibrium confounds this association.",Y
31282419,id175523,"Although previous studies have investigated the effects of the apolipoprotein E (APOE) ɛ4 genotype on the default mode network (DMN) in the Alzheimer's disease (AD) spectrum, it is still unclear how the APOE genotype regulates the DMN and subsequently affects cognitive decline in the AD spectrum.",X
31029938,id175524,We aimed to assess whether APOE affects early Alzheimer's disease pathophysiology via these apolipoproteins.,X
30980923,id175525,"Plasma and cerebrospinal fluid (CSF) from 198 patients with Alzheimer's disease participating in the Preserving Cognition, Quality of Life, Physical Health and Functional Ability in Alzheimer's Disease: The Effect of Physical Exercise (ADEX) study were analyzed for concentrations of 8‑isoprostane, soluble trigger receptor expressed on myeloid cells 2 (sTREM2), and the MSD v-plex proinflammation panel 1 human containing interferon gamma (IFNγ), Interleukin-10 (IL10), IL12p70, IL13, IL1β, IL2, IL4, IL6, IL8, and tumor necrosis factor alpha (TNFα), before and after a 16-week intervention with physical exercise, and we studied whether changes were modulated by the patients' APOE genotype.",X
30798004,id175526,We also performed genotyping and logistic regression analyses to examine APOE frequency and associated risk in patients with Alzheimer's disease (n = 571) and Parkinson's disease (n = 348).,X
30658061,id175527,"Since the ε4 variant is associated with Alzheimer's disease (AD), it might represent an opportunity for exploring the relationship of APOE with physiological and pathological aging.",Y
30460685,id175528,"Single nucleotide polymorphism (SNP)-based genetic risk score (GRS) and APOE genotype are both important in risk prediction of Alzheimer's disease (AD); however, the interaction between GRS and APOE has not been extensively investigated.",X
30457419,id175529,"We first investigated the distribution of APOE genotypes in Lebanese general population and Alzheimer's disease study (ADS) groups, and compared it with 1000 genomes populations.",X
30320587,id175530,"Obstructive sleep apnea is associated with Alzheimer's disease pathology, but this relationship is moderated by APOE ɛ4 and BMI.",Y
30222591,id175531,"Thus, we performed the targeted-sequencing of 12 nuclear receptor genes plus APOE which were involved in cholesterol content modulation to screen susceptible genetic variants and focused on a new risk variant ESR1 rs9340803 at 6q25.1 for both late-onset Alzheimer's disease (OR=3.30[1.84~4.22], p<0.001) and mild cognitive impairment (OR=3.08[1.75~3.89], p<0.001).",X
30143564,id175532,"To evaluate whether APOE ε4 is associated with severity of Lewy body (LB) pathology, independently of Alzheimer disease (AD) pathology.",Y
30052535,id175533,"Only the APOε4 allele showed an association with memory decline, despite accounting for Alzheimer's disease pathology, suggesting that APOE may be involved in mechanisms beyond amyloid metabolism in its role in memory.",A
29878075,id175534,"Our data imply that increased age and APOE ɛ4 status are risk factors for co-pathologies independent of neurodegenerative disease; that neurodegenerative disease severity influences co-pathology as evidenced by the prevalence of co-pathology in high Alzheimer's disease and neocortical Lewy body disease, but not intermediate Alzheimer's disease or limbic Lewy body disease; and that tau and α-synuclein strains may also modify co-pathologies since tauopathies and synucleinopathies had differing co-pathologies and burdens.",A
29856823,id175535,"In this study we investigated effects of the APOE ε4 allele (which confers an enhanced risk of poorer cognitive ageing, and Alzheimer's Disease) on sustained attention (vigilance) performance in young adults using the Rapid Visual Information Processing (RVIP) task and event-related fMRI.",X
29752306,id175536,"To examine the association of the APOE ε2ε4 genotype with incident Alzheimer disease (AD), mild cognitive impairment (MCI), cognitive decline, and AD pathology in older adults.",X
29181489,id175537,"The Generation Program comprises two pivotal phase II/III studies with similar designs to assess the efficacy and safety of investigational treatments in a cognitively unimpaired population at increased risk for developing Alzheimer's disease based on age and apolipoprotein E (APOE) genotype (i.e., presence of the APOE ε4 allele).",X
28346566,id175538,The aim was to investigate the impact of PPARG and APOE gene single nucleotide polymorphisms (SNPs) and additional gene- gene interaction on late-onset Alzheimer's disease (LOAD) risk based on Chinese Han population.,X
28319241,id175539,"In MCI with SNAP, low APOE ε4 and high APOE ε2 carrier prevalence may account for differences in neurodegeneration patterns between Aβ-N+ and Aβ+N+ cases independent from the neuroimaging biomarker modality used to define neurodegeneration associated with Alzheimer disease.",A
28274859,id175540,"In this longitudinal study, 192 consecutive outpatients with late-onset Alzheimer's disease dementia were stratified according to APOE haplotypes, and followed for one year to investigate associations of lipid profile variations and lipophilic statin therapy with changes in cognition, caregiver burden, basic and instrumental functionality.",X
28140404,id175541,Exposure to particulate matter (PM) in the ambient air and its interactions with APOE alleles may contribute to the acceleration of brain aging and the pathogenesis of Alzheimer's disease (AD).,A
28106546,id175542,Our study suggests that a common coding region variant of the IL-6 receptor results in neuroinflammatory changes that may influence the age of onset of Alzheimer's disease in APOE ɛ4 carriers.,A
27346750,id175543,"Genome-wide association studies have established BIN1 (Bridging Integrator 1) as the most significant late-onset Alzheimer disease (AD) susceptibility locus after APOE We analyzed BIN1 protein expression using automated immunohistochemistry on the hippocampal CA1 region in 19 patients with either no, mild, or moderate-to-marked AD pathology, who had been assessed by Clinical Dementia Rating and CERAD scores.",X
27472875,id175544,"The aim of this study was to estimate the prevalence of AD CSF biomarkers in those individuals with a subjective cognitive decline (SCD), a mild cognitive impairment (MCI), and Alzheimer's dementia (AD-D), together with the relationships between the biomarkers, an APOE ɛ4 presence, and a verbal episodic memory performance.",X
27392855,id175545,We examined the impact of APOE genotype and midlife blood glucose on post-mortem vascular and Alzheimer's disease (AD) neuropathology.,X
27358067,id175546,Our objective in the present study was to examine whether APOE ɛ4 genotype and low CSF Aβ42 levels were associated with reduced delivery of DHA to CSF in the Alzheimer's Disease Cooperative Study-sponsored DHA clinical trial.,X
27106634,id175547,"The data were analyzed to investigate whether the proteins were expressed together and in relation with metabolic disorders, dementia, Alzheimer's pathology and APOE genotype.",X
26876448,id175548,"Serum apoE is associated with long-term risk of Alzheimer's disease in the general population, independent of APOE genotype.",Y
26523709,id175549,"Little is known on how risk factors for Alzheimer disease (AD) dementia affect disease progression, much less for populations with low mean schooling, whereas the transcription of APOE may be regulated by nongenetic factors.",A
26401700,id175550,This paper examines how age intervenes in the effects of APOE ɛ4 allele on the volume and shape morphometrics of the hippocampus and the amygdala in mild cognitive impairment (MCI) and Alzheimer's disease.,X
26365416,id175551,"We performed genome-wide linkage and identity-by-descent (IBD) analyses on 41 non-Hispanic white families exhibiting likely dominant inheritance of LOAD, and having no mutations at known familial Alzheimer's disease (AD) loci, and a low burden of APOE ε4 alleles.",X
26341746,id175552,"We examined the associations of APOE with amyloid angiopathy using ordinal logistic regression analyses, controlling for demographics and subsequently Alzheimer's and other common pathologies.",X
26298664,id175553,We used the Alzheimer's Disease Neuroimaging Initiative (ADNI) database to examine the influence of APOE ε4 dose on clinical and neuroimaging biomarkers across the AD spectrum (from cognitive normal to AD patients with severe cognitive impairment).,X
26220940,id175554,"In a large multicentre sample of cognitively normal subjects, as a function of age, gender and APOE genotype, we studied the frequency of abnormal cerebrospinal fluid levels of Alzheimer's disease biomarkers including: total tau, phosphorylated tau and amyloid-β1-42.",X
26180139,id175555,"We analyzed the relationship among biomarkers, clinical variables, and the APOE genotype, and compared biomarker levels across the preclinical stages of the National Institute on Aging-Alzheimer's Association classification: stage 0, 1, 2, 3, and SNAP.",X
26004017,id175556,"APOE ε4 carriers may be further along in the disease process, consistent with earlier brain Aβ deposition and providing a biological basis for APOE genotype effects on onset age of Alzheimer's disease.",A
25731621,id175557,Thus we investigated the genetic components of AD that is independent of APOE ε4 by combining genome association analysis with quantitative trait analyses in non-Hispanic Caucasian participants in the Alzheimer' s Disease Neuroimaging Initiative (ADNI) cohort.,X
25688081,id175558,"Rapidly progressive Alzheimer's disease that is associated with a low frequency of APOE e4 allele demonstrates considerably expanded conformational heterogeneity of amyloid-β42, with higher levels of distinctly structured amyloid-β42 particles composed of 30-100 monomers, and fewer particles composed of < 30 monomers.",Y
25370484,id175559,"This study used an automated analysis technique and two large cohorts to (1) investigate patterns of subfield volume loss in mild cognitive impairment (MCI) and AD, (2) determine the pattern of subfield volume loss due to age, gender, education, APOE ε4 genotype, and neuropsychological test scores, (3) compare combined subfield volumes to hippocampal volume alone at discriminating between AD and healthy controls (HC), and predicting future MCI conversion to AD at 12 months. 1,069 subjects were selected from the AddNeuroMed and Alzheimer's disease neuroimaging initiative (ADNI) cohorts.",X
25161248,id175560,"For real data, using an Alzheimer's disease (AD) cohort, we examine the imaging genetic associations between all SNPs in the APOE gene (i.e. top AD gene) and amyloid deposition measures among cortical regions (i.e. a major AD hallmark).",X
24878738,id175561,"To investigate whether APOE ε4 carriers have higher hippocampal atrophy rates than non-carriers in Alzheimer's disease (AD), mild cognitive impairment (MCI) and controls, and if so, whether higher hippocampal atrophy rates are still observed after adjusting for concurrent whole-brain atrophy rates.",X
24844687,id175562,"Resulting cluster groups were then compared and further examined for APOE allelic frequencies, cerebrospinal fluid (CSF) Alzheimer's disease (AD) biomarker levels, and clinical outcomes.",X
24838911,id175563,Theses associations may indicate the potential role of the APOE gene in the pathophysiology of Alzheimer's disease.,A
24748674,id175564,"Data from 490 CNs were aggregated across 3 observational cohort studies (Harvard Aging Brain Study, Alzheimer's Disease Neuroimaging Initiative, and Australian Imaging Biomarkers and Lifestyle Study of Ageing; median age = 75.0 years, 255 female), and the contributions of APOE ε4 and Aβ on longitudinal change over a median of 1.49 years were examined.",X
24453132,id175565,Here we examined the effect of APOE e4 on hippocampal morphometry in a large imaging database-the Alzheimer's Disease Neuroimaging Initiative (ADNI).,X
